countyfips,party_simple,lng,lat,votes
5055,REPUBLICAN,-90.55895377,36.11773282,12670
5057,DEMOCRAT,-93.66809039,33.73564268,2138
5057,REPUBLICAN,-93.66809039,33.73564268,4470
5059,DEMOCRAT,-92.94560125,34.31751189,3082
5059,REPUBLICAN,-92.94560125,34.31751189,9202
5061,DEMOCRAT,-93.99344494,34.08897983,1340
5061,REPUBLICAN,-93.99344494,34.08897983,3367
5063,DEMOCRAT,-91.56991638,35.74143554,2806
5063,REPUBLICAN,-91.56991638,35.74143554,11250
5065,DEMOCRAT,-91.91279069,36.09526565,1021
5065,REPUBLICAN,-91.91279069,36.09526565,4631
5067,DEMOCRAT,-91.21423884,35.59923757,1365
5067,REPUBLICAN,-91.21423884,35.59923757,3593
5069,DEMOCRAT,-91.93189159,34.26882203,14981
5069,REPUBLICAN,-91.93189159,34.26882203,9521
5071,DEMOCRAT,-93.46000035,35.57001766,2283
5071,REPUBLICAN,-93.46000035,35.57001766,6938
5073,DEMOCRAT,-93.60684679,33.24091819,839
5073,REPUBLICAN,-93.60684679,33.24091819,1757
5075,DEMOCRAT,-91.1070497,36.04103952,1080
5075,REPUBLICAN,-91.1070497,36.04103952,4569
5077,DEMOCRAT,-90.78211015,34.78064921,1423
5077,REPUBLICAN,-90.78211015,34.78064921,1286
5079,DEMOCRAT,-91.73333878,33.95753882,1032
5079,REPUBLICAN,-91.73333878,33.95753882,2729
5081,DEMOCRAT,-94.2339787,33.70228691,1226
5081,REPUBLICAN,-94.2339787,33.70228691,3715
5083,DEMOCRAT,-93.71630518,35.21550403,1544
5083,REPUBLICAN,-93.71630518,35.21550403,6441
5085,DEMOCRAT,-91.88791683,34.75441172,6686
5085,REPUBLICAN,-91.88791683,34.75441172,22884
5087,DEMOCRAT,-93.72465597,36.01103565,1563
5087,REPUBLICAN,-93.72465597,36.01103565,5658
5089,DEMOCRAT,-92.68397295,36.26842934,1531
5089,REPUBLICAN,-92.68397295,36.26842934,5783
5091,DEMOCRAT,-93.89142003,33.31200171,4245
5091,REPUBLICAN,-93.89142003,33.31200171,11920
5093,DEMOCRAT,-90.05430077,35.76420127,4558
5093,REPUBLICAN,-90.05430077,35.76420127,7296
5095,DEMOCRAT,-91.20394825,34.67772323,1147
5095,REPUBLICAN,-91.20394825,34.67772323,1545
5097,DEMOCRAT,-93.65944523,34.53888136,731
5097,REPUBLICAN,-93.65944523,34.53888136,3046
5099,DEMOCRAT,-93.30697684,33.66338522,1076
5099,REPUBLICAN,-93.30697684,33.66338522,2133
5101,DEMOCRAT,-93.2178649,35.91979049,709
5101,REPUBLICAN,-93.2178649,35.91979049,3192
5103,DEMOCRAT,-92.88191217,33.59337533,3995
5103,REPUBLICAN,-92.88191217,33.59337533,5294
5105,DEMOCRAT,-92.93150636,34.947251,1012
5105,REPUBLICAN,-92.93150636,34.947251,3479
5107,DEMOCRAT,-90.84810681,34.42853288,3623
5107,REPUBLICAN,-90.84810681,34.42853288,2417
5109,DEMOCRAT,-93.65621,34.16356461,644
5109,REPUBLICAN,-93.65621,34.16356461,3519
5111,DEMOCRAT,-90.66282507,35.57408383,1424
5111,REPUBLICAN,-90.66282507,35.57408383,5918
5113,DEMOCRAT,-94.2279123,34.48595315,1246
5113,REPUBLICAN,-94.2279123,34.48595315,7035
5115,DEMOCRAT,-93.03400145,35.4476948,5772
5115,REPUBLICAN,-93.03400145,35.4476948,18081
5117,DEMOCRAT,-91.55194184,34.83010091,654
5117,REPUBLICAN,-91.55194184,34.83010091,2786
5119,DEMOCRAT,-92.31191414,34.76993891,101947
5119,REPUBLICAN,-92.31191414,34.76993891,63687
5121,DEMOCRAT,-91.02752205,36.34154412,1215
5121,REPUBLICAN,-91.02752205,36.34154412,5355
5123,DEMOCRAT,-90.74840472,35.02180511,3604
5123,REPUBLICAN,-90.74840472,35.02180511,3242
5125,DEMOCRAT,-92.67655329,34.64661779,16060
5125,REPUBLICAN,-92.67655329,34.64661779,39556
5127,DEMOCRAT,-94.06315729,34.86103868,483
5127,REPUBLICAN,-94.06315729,34.86103868,2962
5129,DEMOCRAT,-92.69933958,35.91115674,588
5129,REPUBLICAN,-92.69933958,35.91115674,3365
5131,DEMOCRAT,-94.27397371,35.19943145,14487
5131,REPUBLICAN,-94.27397371,35.19943145,31198
5133,DEMOCRAT,-94.24072249,33.9971421,1116
5133,REPUBLICAN,-94.24072249,33.9971421,3884
5135,DEMOCRAT,-91.47928351,36.16124847,1398
5135,REPUBLICAN,-91.47928351,36.16124847,5938
5137,DEMOCRAT,-92.15689859,35.86003074,1180
5137,REPUBLICAN,-92.15689859,35.86003074,4616
5139,DEMOCRAT,-92.59770646,33.17125929,5584
5139,REPUBLICAN,-92.59770646,33.17125929,10478
5141,DEMOCRAT,-92.51610324,35.58054667,1593
5141,REPUBLICAN,-92.51610324,35.58054667,6034
5143,DEMOCRAT,-94.21571712,35.97899668,43824
5143,REPUBLICAN,-94.21571712,35.97899668,47504
5145,DEMOCRAT,-91.74548804,35.25612459,5978
5145,REPUBLICAN,-91.74548804,35.25612459,24182
5147,DEMOCRAT,-91.24302721,35.18620495,856
5147,REPUBLICAN,-91.24302721,35.18620495,1543
5149,DEMOCRAT,-93.41105962,35.00270728,1284
5149,REPUBLICAN,-93.41105962,35.00270728,5226
6001,DEMOCRAT,-121.888612,37.64642367,617659
6001,REPUBLICAN,-121.888612,37.64642367,136309
6003,DEMOCRAT,-119.8206263,38.59721624,476
6003,REPUBLICAN,-119.8206263,38.59721624,244
6005,DEMOCRAT,-120.651296,38.44638702,8153
6005,REPUBLICAN,-120.651296,38.44638702,13585
6007,DEMOCRAT,-121.6008508,39.66681952,50815
6007,REPUBLICAN,-121.6008508,39.66681952,48819
6009,DEMOCRAT,-120.554132,38.20478056,10046
6009,REPUBLICAN,-120.554132,38.20478056,16518
