primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
5050035548,505003,5003,5,REPUBLICAN,-91.76814114,33.19120398,5548
5050054635,505005,5005,5,DEMOCRAT,-92.33686558,36.28715062,4635
50500515836,505005,5005,5,REPUBLICAN,-92.33686558,36.28715062,15836
50500742249,505007,5007,5,DEMOCRAT,-94.25598718,36.33873798,42249
50500773965,505007,5007,5,REPUBLICAN,-94.25598718,36.33873798,73965
5050093064,505009,5009,5,DEMOCRAT,-93.09137415,36.30874792,3064
50500913652,505009,5009,5,REPUBLICAN,-93.09137415,36.30874792,13652
5050111214,505011,5011,5,DEMOCRAT,-92.16229542,33.46613806,1214
5050112335,505011,5011,5,REPUBLICAN,-92.16229542,33.46613806,2335
505013479,505013,5013,5,DEMOCRAT,-92.50253376,33.55786388,479
5050131636,505013,5013,5,REPUBLICAN,-92.50253376,33.55786388,1636
5050154023,505015,5015,5,DEMOCRAT,-93.53832319,36.34107901,4023
5050157424,505015,5015,5,REPUBLICAN,-93.53832319,36.34107901,7424
5050172260,505017,5017,5,DEMOCRAT,-91.29365079,33.2673446,2260
5050171752,505017,5017,5,REPUBLICAN,-91.29365079,33.2673446,1752
5050193438,505019,5019,5,DEMOCRAT,-93.17667235,34.05108285,3438
5050194616,505019,5019,5,REPUBLICAN,-93.17667235,34.05108285,4616
505021962,505021,5021,5,DEMOCRAT,-90.41718919,36.36822542,962
5050214086,505021,5021,5,REPUBLICAN,-90.41718919,36.36822542,4086
5050231988,505023,5023,5,DEMOCRAT,-92.02725586,35.53853919,1988
50502310328,505023,5023,5,REPUBLICAN,-92.02725586,35.53853919,10328
505025651,505025,5025,5,DEMOCRAT,-92.18489948,33.89823609,651
5050252867,505025,5025,5,REPUBLICAN,-92.18489948,33.89823609,2867
5050272814,505027,5027,5,DEMOCRAT,-93.22737493,33.2142428,2814
5050275500,505027,5027,5,REPUBLICAN,-93.22737493,33.2142428,5500
5050292615,505029,5029,5,DEMOCRAT,-92.70098811,35.26227905,2615
5050295694,505029,5029,5,REPUBLICAN,-92.70098811,35.26227905,5694
50503111921,505031,5031,5,DEMOCRAT,-90.63270647,35.8310138,11921
50503125558,505031,5031,5,REPUBLICAN,-90.63270647,35.8310138,25558
5050334959,505033,5033,5,DEMOCRAT,-94.24296995,35.588841,4959
