combinedfips,countyfips,statefips,party,lng,lat,votes
505007,5007,5,republican,-94.25598718,36.33873798,60871
505009,5009,5,democratic,-93.09137415,36.30874792,2926
505009,5009,5,republican,-93.09137415,36.30874792,12235
505011,5011,5,democratic,-92.16229542,33.46613806,1317
505011,5011,5,republican,-92.16229542,33.46613806,2164
505013,5013,5,democratic,-92.50253376,33.55786388,639
505013,5013,5,republican,-92.50253376,33.55786388,1556
505015,5015,5,democratic,-93.53832319,36.34107901,3342
505015,5015,5,republican,-93.53832319,36.34107901,6786
505017,5017,5,democratic,-91.29365079,33.2673446,2350
505017,5017,5,republican,-91.29365079,33.2673446,1716
505019,5019,5,democratic,-93.17667235,34.05108285,3620
505019,5019,5,republican,-93.17667235,34.05108285,4404
505021,5021,5,democratic,-90.41718919,36.36822542,1199
505021,5021,5,republican,-90.41718919,36.36822542,3781
505023,5023,5,democratic,-92.02725586,35.53853919,2101
505023,5023,5,republican,-92.02725586,35.53853919,9458
505025,5025,5,democratic,-92.18489948,33.89823609,723
505025,5025,5,republican,-92.18489948,33.89823609,2462
505027,5027,5,democratic,-93.22737493,33.2142428,3140
505027,5027,5,republican,-93.22737493,33.2142428,5456
505029,5029,5,democratic,-92.70098811,35.26227905,2656
505029,5029,5,republican,-92.70098811,35.26227905,4849
505031,5031,5,democratic,-90.63270647,35.8310138,10538
505031,5031,5,republican,-90.63270647,35.8310138,22892
505033,5033,5,democratic,-94.24296995,35.588841,4488
505033,5033,5,republican,-94.24296995,35.588841,16686
505035,5035,5,democratic,-90.30924635,35.20762172,8410
505035,5035,5,republican,-90.30924635,35.20762172,6964
505037,5037,5,democratic,-90.77181286,35.29547453,1999
505037,5037,5,republican,-90.77181286,35.29547453,4584
505039,5039,5,democratic,-92.65420664,33.96953994,1165
505039,5039,5,republican,-92.65420664,33.96953994,1509
505041,5041,5,democratic,-91.2539449,33.83346926,2228
505041,5041,5,republican,-91.2539449,33.83346926,1919
505043,5043,5,democratic,-91.71972855,33.58957425,2365
505043,5043,5,republican,-91.71972855,33.58957425,3968
505045,5045,5,democratic,-92.33201857,35.14732521,14629
505045,5045,5,republican,-92.33201857,35.14732521,29346
505047,5047,5,democratic,-93.89070916,35.51229968,1376
505047,5047,5,republican,-93.89070916,35.51229968,5039
505049,5049,5,democratic,-91.81767336,36.3818346,1067
505049,5049,5,republican,-91.81767336,36.3818346,3471
505051,5051,5,democratic,-93.15048723,34.57659951,12311
505051,5051,5,republican,-93.15048723,34.57659951,26087
505053,5053,5,democratic,-92.42371463,34.29002049,1373
505053,5053,5,republican,-92.42371463,34.29002049,5725
505055,5055,5,democratic,-90.55895377,36.11773282,3071
505055,5055,5,republican,-90.55895377,36.11773282,10720
505057,5057,5,democratic,-93.66809039,33.73564268,2377
505057,5057,5,republican,-93.66809039,33.73564268,4401
505059,5059,5,democratic,-92.94560125,34.31751189,3149
505059,5059,5,republican,-92.94560125,34.31751189,8172
505061,5061,5,democratic,-93.99344494,34.08897983,1351
505061,5061,5,republican,-93.99344494,34.08897983,3157
505063,5063,5,democratic,-91.56991638,35.74143554,2881
505063,5063,5,republican,-91.56991638,35.74143554,9936
505065,5065,5,democratic,-91.91279069,36.09526565,1113
505065,5065,5,republican,-91.91279069,36.09526565,4042
505067,5067,5,democratic,-91.21423884,35.59923757,1583
505067,5067,5,republican,-91.21423884,35.59923757,3267
505069,5069,5,democratic,-91.93189159,34.26882203,15772
505069,5069,5,republican,-91.93189159,34.26882203,9250
505071,5071,5,democratic,-93.46000035,35.57001766,2427
505071,5071,5,republican,-93.46000035,35.57001766,6091
505073,5073,5,democratic,-93.60684679,33.24091819,1032
505073,5073,5,republican,-93.60684679,33.24091819,1758
505075,5075,5,democratic,-91.1070497,36.04103952,1263
505075,5075,5,republican,-91.1070497,36.04103952,4064
505077,5077,5,democratic,-90.78211015,34.78064921,1735
505077,5077,5,republican,-90.78211015,34.78064921,1229
505079,5079,5,democratic,-91.73333878,33.95753882,1252
505079,5079,5,republican,-91.73333878,33.95753882,2455
505081,5081,5,democratic,-94.2339787,33.70228691,1397
505081,5081,5,republican,-94.2339787,33.70228691,3605
505083,5083,5,democratic,-93.71630518,35.21550403,1715
505083,5083,5,republican,-93.71630518,35.21550403,5746
505085,5085,5,democratic,-91.88791683,34.75441172,5664
505085,5085,5,republican,-91.88791683,34.75441172,19958
505087,5087,5,democratic,-93.72465597,36.01103565,1588
505087,5087,5,republican,-93.72465597,36.01103565,4928
505089,5089,5,democratic,-92.68397295,36.26842934,1434
505089,5089,5,republican,-92.68397295,36.26842934,5336
505091,5091,5,democratic,-93.89142003,33.31200171,4273
